iter	Passed	Remaining
0	0	71
1	1	64
2	1	60
3	2	55
4	2	54
5	3	54
6	4	54
7	4	54
8	5	54
9	5	53
10	6	52
11	7	51
12	7	51
13	8	50
14	8	50
15	9	50
16	10	49
17	10	49
18	11	48
19	12	48
20	12	47
21	13	46
22	13	45
23	14	45
24	14	44
25	15	43
26	15	42
27	16	42
28	16	41
29	17	40
30	18	40
31	18	39
32	19	39
33	19	38
34	20	38
35	21	37
36	21	36
37	22	36
38	22	35
39	23	35
40	24	34
41	24	33
42	25	33
43	25	32
44	26	31
45	26	31
46	27	30
47	27	30
48	28	29
49	28	28
50	29	28
51	30	27
52	30	27
53	31	26
54	31	25
55	32	25
56	32	24
57	33	24
58	34	23
59	34	23
60	35	22
61	35	21
62	36	21
63	36	20
64	37	20
65	37	19
66	38	18
67	39	18
68	39	17
69	40	17
70	40	16
71	41	16
72	42	15
73	42	15
74	43	14
75	43	13
76	44	13
77	45	12
78	45	12
79	46	11
80	46	10
81	47	10
82	47	9
83	48	9
84	49	8
85	49	8
86	50	7
87	51	6
88	51	6
89	52	5
90	52	5
91	53	4
92	54	4
93	54	3
94	55	2
95	56	2
96	56	1
97	57	1
98	57	0
99	58	0
